Id,Name,Sex,Age,Height,Weight,Team
1,A Lamusi,M,23.0,170.0,60.0,China
2,Gunnar Nielsen Aaby,M,24.0,170.0,60.0,Denmark
3,Edgar Lindenau Aabye,M,34.0,170.0,60.0,Denmark/Sweden
4,Christine Jacoba Aaftink,F,21.0,185.0,82.0,Netherlands
5,Christine Jacoba Aaftink,F,21.0,185.0,82.0,Netherlands
6,Christine Jacoba Aaftink,F,25.0,185.0,82.0,Netherlands
7,Christine Jacoba Aaftink,F,25.0,185.0,82.0,Netherlands
8,Christine Jacoba Aaftink,F,27.0,185.0,82.0,Netherlands
9,Christine Jacoba Aaftink,F,27.0,185.0,82.0,Netherlands
10,Per Knut Aaland,M,31.0,188.0,75.0,United States
11,Per Knut Aaland,M,31.0,188.0,75.0,United States
12,Per Knut Aaland,M,31.0,188.0,75.0,United States
13,Per Knut Aaland,M,31.0,188.0,75.0,United States
14,Per Knut Aaland,M,33.0,188.0,75.0,United States
15,Per Knut Aaland,M,33.0,188.0,75.0,United States
16,Per Knut Aaland,M,33.0,188.0,75.0,United States
17,Per Knut Aaland,M,33.0,188.0,75.0,United States
18,John Aalberg,M,31.0,183.0,72.0,United States
19,John Aalberg,M,31.0,183.0,72.0,United States
20,John Aalberg,M,31.0,183.0,72.0,United States
21,John Aalberg,M,31.0,183.0,72.0,United States
22,John Aalberg,M,33.0,183.0,72.0,United States
23,John Aalberg,M,33.0,183.0,72.0,United States
24,John Aalberg,M,33.0,183.0,72.0,United States
25,John Aalberg,M,33.0,183.0,72.0,United States
26,"Cornelia ""Cor"" Aalten (-Strannood)",F,18.0,168.0,72.0,Netherlands
27,"Cornelia ""Cor"" Aalten (-Strannood)",F,18.0,168.0,72.0,Netherlands
28,Antti Sami Aalto,M,26.0,186.0,96.0,Finland
29,"Einar Ferdinand ""Einari"" Aalto",M,26.0,186.0,96.0,Finland
30,Jorma Ilmari Aalto,M,22.0,182.0,76.5,Finland
31,Jyri Tapani Aalto,M,31.0,172.0,70.0,Finland
32,Minna Maarit Aalto,F,30.0,159.0,55.5,Finland
33,Minna Maarit Aalto,F,34.0,159.0,55.5,Finland
34,Pirjo Hannele Aalto (Mattila-),F,32.0,171.0,65.0,Finland
35,Arvo Ossian Aaltonen,M,22.0,171.0,65.0,Finland
36,Arvo Ossian Aaltonen,M,22.0,171.0,65.0,Finland
37,Arvo Ossian Aaltonen,M,30.0,171.0,65.0,Finland
38,Arvo Ossian Aaltonen,M,30.0,171.0,65.0,Finland
39,Arvo Ossian Aaltonen,M,34.0,171.0,65.0,Finland
40,Juhamatti Tapio Aaltonen,M,28.0,184.0,85.0,Finland
41,Paavo Johannes Aaltonen,M,28.0,175.0,64.0,Finland
42,Paavo Johannes Aaltonen,M,28.0,175.0,64.0,Finland
43,Paavo Johannes Aaltonen,M,28.0,175.0,64.0,Finland
44,Paavo Johannes Aaltonen,M,28.0,175.0,64.0,Finland
45,Paavo Johannes Aaltonen,M,28.0,175.0,64.0,Finland
46,Paavo Johannes Aaltonen,M,28.0,175.0,64.0,Finland
47,Paavo Johannes Aaltonen,M,28.0,175.0,64.0,Finland
48,Paavo Johannes Aaltonen,M,28.0,175.0,64.0,Finland
49,Paavo Johannes Aaltonen,M,32.0,175.0,64.0,Finland
50,Paavo Johannes Aaltonen,M,32.0,175.0,64.0,Finland
51,Paavo Johannes Aaltonen,M,32.0,175.0,64.0,Finland
52,Paavo Johannes Aaltonen,M,32.0,175.0,64.0,Finland
53,Paavo Johannes Aaltonen,M,32.0,175.0,64.0,Finland
54,Paavo Johannes Aaltonen,M,32.0,175.0,64.0,Finland
55,Paavo Johannes Aaltonen,M,32.0,175.0,64.0,Finland
56,Paavo Johannes Aaltonen,M,32.0,175.0,64.0,Finland
57,Timo Antero Aaltonen,M,31.0,189.0,130.0,Finland
58,Win Valdemar Aaltonen,M,54.0,189.0,130.0,Finland
59,Kjetil Andr Aamodt,M,20.0,176.0,85.0,Norway
60,Kjetil Andr Aamodt,M,20.0,176.0,85.0,Norway
61,Kjetil Andr Aamodt,M,20.0,176.0,85.0,Norway
62,Kjetil Andr Aamodt,M,20.0,176.0,85.0,Norway
63,Kjetil Andr Aamodt,M,22.0,176.0,85.0,Norway
64,Kjetil Andr Aamodt,M,22.0,176.0,85.0,Norway
65,Kjetil Andr Aamodt,M,22.0,176.0,85.0,Norway
66,Kjetil Andr Aamodt,M,22.0,176.0,85.0,Norway
67,Kjetil Andr Aamodt,M,22.0,176.0,85.0,Norway
68,Kjetil Andr Aamodt,M,26.0,176.0,85.0,Norway
69,Kjetil Andr Aamodt,M,26.0,176.0,85.0,Norway
70,Kjetil Andr Aamodt,M,26.0,176.0,85.0,Norway
71,Kjetil Andr Aamodt,M,26.0,176.0,85.0,Norway
72,Kjetil Andr Aamodt,M,30.0,176.0,85.0,Norway
73,Kjetil Andr Aamodt,M,30.0,176.0,85.0,Norway
74,Kjetil Andr Aamodt,M,30.0,176.0,85.0,Norway
75,Kjetil Andr Aamodt,M,30.0,176.0,85.0,Norway
76,Kjetil Andr Aamodt,M,30.0,176.0,85.0,Norway
77,Kjetil Andr Aamodt,M,34.0,176.0,85.0,Norway
78,Kjetil Andr Aamodt,M,34.0,176.0,85.0,Norway
79,Ragnhild Margrethe Aamodt,F,27.0,163.0,85.0,Norway
80,Andreea Aanei,F,22.0,170.0,125.0,Romania
81,Fritz Aanes,M,22.0,187.0,89.0,Norway
82,Fritz Aanes,M,26.0,187.0,89.0,Norway
83,Nils Egil Aaness,M,24.0,187.0,89.0,Norway
84,Nils Egil Aaness,M,24.0,187.0,89.0,Norway
85,Nils Egil Aaness,M,27.0,187.0,89.0,Norway
86,Alf Lied Aanning,M,24.0,187.0,89.0,Norway
87,Agnes Erika Aanonsen (-Eyde),F,17.0,169.0,65.0,Norway
88,Johan Aantjes,M,26.0,169.0,65.0,Netherlands
89,Jan-Erik Aarberg,M,43.0,170.0,77.0,Norway
90,Jan-Erik Aarberg,M,47.0,170.0,77.0,Norway
91,Willemien Aardenburg,F,22.0,170.0,77.0,Netherlands
92,Pepijn Aardewijn,M,26.0,189.0,72.0,Netherlands
93,Pepijn Aardewijn,M,30.0,189.0,72.0,Netherlands
94,Evald rma (rman-),M,24.0,174.0,70.0,Estonia
95,Olav Augunson Aarnes,M,23.0,174.0,70.0,Norway
96,Mika Lauri Aarnikka,M,24.0,187.0,76.0,Finland
97,Mika Lauri Aarnikka,M,28.0,187.0,76.0,Finland
98,Jamale (Djamel-) Aarrass (Ahrass-),M,30.0,187.0,76.0,France
